initial_location,seating_capacity,start_service_time,end_service_time
51670,4,1,108000
52076,4,1,108000
100511,4,1,108000
62753,4,1,108000
153266,4,1,108000
89973,4,1,108000
64773,4,1,108000
59872,4,1,108000
131042,4,1,108000
103934,4,1,108000
43443,4,1,108000
111868,4,1,108000
91198,4,1,108000
60151,4,1,108000
145229,4,1,108000
106231,4,1,108000
30916,4,1,108000
35728,4,1,108000
1592,4,1,108000
88964,4,1,108000
131040,4,1,108000
133741,4,1,108000
108251,4,1,108000
70834,4,1,108000
34253,4,1,108000
59068,4,1,108000
79296,4,1,108000
1873,4,1,108000
138318,4,1,108000
123689,4,1,108000
133593,4,1,108000
2603,4,1,108000
42632,4,1,108000
104161,4,1,108000
36843,4,1,108000
22317,4,1,108000
151337,4,1,108000
123814,4,1,108000
112461,4,1,108000
107959,4,1,108000
50892,4,1,108000
11255,4,1,108000
140504,4,1,108000
30813,4,1,108000
99414,4,1,108000
20789,4,1,108000
149692,4,1,108000
7410,4,1,108000
113012,4,1,108000
76835,4,1,108000
97767,4,1,108000
132950,4,1,108000
86905,4,1,108000
17433,4,1,108000
19384,4,1,108000
10597,4,1,108000
79853,4,1,108000
119489,4,1,108000
137785,4,1,108000
105433,4,1,108000
73304,4,1,108000
120359,4,1,108000
64187,4,1,108000
103781,4,1,108000
154502,4,1,108000
119699,4,1,108000
104312,4,1,108000
132447,4,1,108000
81713,4,1,108000
21096,4,1,108000
34041,4,1,108000
79110,4,1,108000
10141,4,1,108000
28031,4,1,108000
109163,4,1,108000
87042,4,1,108000
20285,4,1,108000
24652,4,1,108000
112915,4,1,108000
52565,4,1,108000
59066,4,1,108000
73461,4,1,108000
61727,4,1,108000
24936,4,1,108000
82996,4,1,108000
39935,4,1,108000
46583,4,1,108000
71158,4,1,108000
101620,4,1,108000
46193,4,1,108000
34903,4,1,108000
116416,4,1,108000
71960,4,1,108000
8951,4,1,108000
13791,4,1,108000
61736,4,1,108000
83621,4,1,108000
95657,4,1,108000
87317,4,1,108000
70285,4,1,108000
3559,4,1,108000
